Time;Electrical energy demand in kW;Heating energy  demand in kW;DHW demand in kW
04:38;0,4;0;0
04:39;0,4;3,87;0
04:40;0,39;0;0
04:41;0,39;0;0
04:42;0,39;3,87;0
04:43;0,39;0;0
04:44;0,39;0;0
04:45;0,39;0;0
04:46;0,39;0;0
04:47;0,39;0;0
04:48;0,39;0;0
04:49;0,39;3,87;0
04:50;0,36;0;0
04:51;0,32;0;0
04:52;0,32;0;0
04:53;0,32;0;0
04:54;0,36;0;0
04:55;0,41;3,87;0
04:56;0,41;0;0
04:57;0,4;3,87;0
04:58;0,39;0;0
04:59;0,39;3,87;0
05:00;0,39;0;0
05:01;0,39;0;0
05:02;0,39;0;0
05:03;0,39;0;0
05:04;0,39;3,87;0
05:05;0,39;0;0
05:06;0,5;0;0
05:07;0,59;0;0
05:08;0,57;0;11,41
05:09;0,57;0;11,41
05:10;0,58;0;15,21
05:11;0,6;11,6;11,41
05:12;0,61;15,46;15,21
05:13;0,6;11,6;15,21
05:14;0,61;11,6;11,41
05:15;0,61;11,6;3,8
05:16;0,6;11,6;0
05:17;0,6;11,6;0
05:18;1,51;7,73;0
05:19;1,97;7,73;0
05:20;2,4;7,73;0
05:21;1,95;0;0
05:22;1,49;0;0
05:23;0,6;0;0
05:24;0,64;3,87;0
05:25;1,03;0;0
05:26;2,44;0;0
05:27;3,43;0;0
05:28;3,42;0;0
05:29;2,42;0;0
05:30;1,44;3,87;0
05:31;1,08;0;0
05:32;0,66;0;0
05:33;0,6;0;0
05:34;0,57;0;0
05:35;0,57;0;0
05:36;0,6;0;0
05:37;0,63;0;0
05:38;0,62;0;0
05:39;0,72;0;0
05:40;0,74;0;0
05:41;0,68;0;0
05:42;0,68;0;0
05:43;0,67;0;0
05:44;0,68;0;0
05:45;0,7;7,73;0
05:46;0,71;11,6;0
05:47;0,7;7,73;0
05:48;0,67;0;0
05:49;0,66;0;0
05:50;0,66;3,87;0
05:51;0,66;0;0
05:52;0,66;0;0
05:53;0,66;0;0
05:54;0,66;0;0
05:55;0,66;0;0
05:56;0,66;3,87;0
05:57;0,79;0;0
05:58;1,02;0;0
05:59;1,04;0;0
06:00;1;0;0
06:01;0,96;0;0
06:02;0,96;0;0
06:03;0,96;0;0
06:04;0,96;0;0
06:05;0,96;0;0
06:06;0,77;0;0
06:07;0,69;0;0
06:08;0,69;0;0
06:09;0,69;0;0
06:10;1,01;0;0
06:11;0,97;7,73;0
06:12;0,57;11,6;0
06:13;0,54;3,87;0
06:14;0,53;3,87;0
06:15;0,52;0;0
06:16;0,52;3,87;0
06:17;0,45;0;0
06:18;0,39;0;0
06:19;0,39;0;0
06:20;0,39;0;0
06:21;0,39;0;0
06:22;0,39;3,87;0
06:23;0,39;0;0
06:24;0,39;0;0
06:25;0,39;0;0
06:26;0,35;0;0
06:27;0,31;0;0
06:28;0,31;0;0
06:29;0,31;0;0
06:30;0,38;0;0
06:31;0,41;3,87;0
06:32;0,4;3,87;0
06:33;0,39;0;0
06:34;0,39;3,87;0
06:35;0,39;0;0
06:36;0,39;0;0
06:37;0,39;0;0
06:38;0,39;3,87;0
06:39;0,39;0;0
06:40;0,39;0;0
06:41;0,39;0;0
06:42;0,39;0;0
06:43;0,33;0;0
06:44;0,25;0;0
06:45;0,19;0;0
06:46;0,16;0;0
06:47;0,16;0;0
06:48;0,16;0;0
06:49;0,19;0;0
06:50;0,25;7,73;0
06:51;0,25;3,87;0
06:52;0,24;3,87;0
06:53;0,24;3,87;0
06:54;0,22;3,87;0
06:55;0,23;0;0
06:56;0,22;0;0
06:57;0,23;3,87;0
06:58;0,23;0;0
06:59;0,23;0;0
07:00;0,22;0;3,8
07:01;0,22;0;3,8
07:02;0,21;0;0
07:03;0,21;0;0
07:04;0,21;3,87;0
07:05;0,24;0;0
07:06;0,27;0;3,8
07:07;0,46;0;0
07:08;0,26;0;0
07:09;0,3;0;0
07:10;0,35;3,87;0
07:11;0,35;3,87;0
07:12;0,35;3,87;0
07:13;0,34;3,87;0
07:14;0,27;0;0
07:15;0,2;3,87;0
07:16;0,2;0;0
07:17;1,28;0;0
07:18;1,27;0;0
07:19;0,74;0;0
07:20;0,8;3,87;0
07:21;0,73;0;0
07:22;1,24;0;0
07:23;0,71;0;0
07:24;0,2;0;0
07:25;0,17;0;0
07:26;0,13;0;3,8
07:27;0,14;0;0
07:28;0,13;0;0
07:29;0,18;0;0
07:30;0,22;3,87;0
07:31;0,22;3,87;0
07:32;0,21;3,87;0
07:33;0,28;0;0
07:34;0,32;0;0
07:35;0,3;3,87;0
07:36;0,3;0;0
07:37;0,37;0;0
07:38;0,46;0;0
07:39;0,49;0;0
07:40;0,45;0;0
07:41;0,43;3,87;0
07:42;0,42;0;0
07:43;0,42;0;0
07:44;0,42;0;0
07:45;0,32;0;0
07:46;0,22;0;0
07:47;0,22;0;0
07:48;0,25;0;0
07:49;0,27;0;0
07:50;0,24;0;0
07:51;0,32;0;0
07:52;0,39;3,87;0
07:53;0,39;3,87;0
07:54;0,38;3,87;0
07:55;0,37;0;0
07:56;0,37;3,87;0
07:57;0,37;0;0
07:58;0,37;0;0
07:59;0,37;0;0
08:00;0,37;3,87;0
08:01;0,37;0;0
08:02;0,37;0;0
08:03;0,37;0;0
08:04;0,37;0;0
08:05;0,37;0;0
08:06;0,37;0;0
08:07;0,33;0;0
08:08;0,3;0;0
08:09;0,25;0;0
08:10;0,22;0;0
08:11;0,26;0;0
08:12;0,3;3,87;0
08:13;0,31;3,87;0
08:14;0,3;3,87;0
08:15;0,29;0;0
08:16;0,29;0;0
08:17;0,38;3,87;0
08:18;0,63;0;0
08:19;0,59;0;0
08:20;0,36;0;0
08:21;0,33;0;0
08:22;0,33;0;0
08:23;0,33;3,87;0
08:24;0,33;0;0
08:25;0,27;0;0
08:26;0,2;0;0
08:27;0,17;0;0
08:28;0,14;0;0
08:29;0,16;0;0
08:30;0,16;0;0
08:31;0,18;0;0
08:32;0,21;3,87;0
08:33;0,22;3,87;0
08:34;0,21;0;0
08:35;0,2;3,87;3,8
08:36;0,19;0;0
08:37;0,71;0;0
08:38;1,23;3,87;0
08:39;0,72;0;0
08:40;0,2;0;0
08:41;0,2;0;0
08:42;0,2;0;0
08:43;0,73;0;0
08:44;1,25;0;0
08:45;1,25;3,87;0
08:46;1,25;0;0
08:47;1,21;0;0
08:48;1,17;0;0
08:49;1,16;0;0
08:50;0,65;0;0
08:51;0,13;0;0
08:52;0,17;0;0
08:53;0,21;3,87;0
08:54;0,26;3,87;0
08:55;0,27;0;0
08:56;0,22;3,87;0
08:57;0,19;0;0
08:58;0,22;0;0
08:59;0,25;0;0
09:00;0,22;0;0
09:01;0,19;3,87;0
09:02;0,21;0;0
09:03;0,22;0;0
09:04;0,21;0;0
09:05;0,19;0;0
09:06;0,2;0;0
09:07;0,2;0;0
09:08;0,17;0;0
09:09;0,13;0;0
09:10;0,13;0;0
09:11;0,13;0;0
09:12;0,13;0;0
09:13;0,17;0;0
09:14;0,22;3,87;0
09:15;0,22;3,87;0
09:16;0,21;3,87;3,8
09:17;0,2;3,87;0
09:18;1,25;0;0
09:19;2,32;0;0
09:20;2,34;0;0
09:21;2,35;3,87;0
09:22;1,35;0;0
09:23;0,33;0;0
09:24;0,33;0;0
09:25;0,33;0;0
09:26;0,33;0;0
09:27;0,33;0;0
09:28;0,33;3,87;0
09:29;1,29;0;0
09:30;2,25;0;0
09:31;2,25;0;3,8
09:32;2,26;0;0
09:33;1,3;0;0
09:34;1,35;3,87;0
09:35;2,34;3,87;0
09:36;1,35;0;0
09:37;0,4;3,87;0
09:38;0,45;0;0
09:39;1,43;0;0
09:40;2,42;0;0
09:41;2,43;3,87;0
09:42;2,43;0;0
09:43;2,43;0;0
09:44;2,44;0;0
09:45;2,44;0;0
09:46;2,44;0;0
09:47;2,43;3,87;0
09:48;2,43;0;0
09:49;2,4;0;0
09:50;1,37;0;0
09:51;0,36;0;0
09:52;1,01;0;0
09:53;1,63;0;0
09:54;1,61;3,87;0
09:55;1,6;3,87;0
09:56;1,59;0;0
09:57;1,58;3,87;0
09:58;1,59;0;0
09:59;1,59;0;0
10:00;1,58;0;0
10:01;1,58;3,87;0
10:02;0,94;0;0
10:03;0,31;0;0
10:04;0,31;0;3,8
10:05;0,97;0;0
10:06;1,63;0;0
10:07;0,98;0;0
10:08;0,99;3,87;0
10:09;0,28;0;0
10:10;0,25;0;0
10:11;0,25;0;0
10:12;0,26;0;0
10:13;1,44;0;0
10:14;2,59;3,87;0
10:15;1,5;3,87;0
10:16;0,41;0;0
10:17;0,4;3,87;0
10:18;0,39;0;0
10:19;0,4;0;3,8
10:20;0,39;0;0
10:21;0,4;3,87;0
10:22;0,4;0;0
10:23;0,4;0;0
10:24;0,39;0;0
10:25;0,39;0;0
10:26;0,39;0;11,41
10:27;1,49;0;0
10:28;2,57;3,87;0
10:29;2,54;0;0
10:30;2,45;0;0
10:31;2,41;0;0
10:32;2,41;0;0
10:33;2,44;0;0
10:34;2,49;3,87;0
10:35;2,5;7,73;0
10:36;2,5;7,73;0
10:37;2,5;7,73;0
10:38;2,46;0;0
10:39;2,46;0;0
10:40;1,38;0;0
10:41;0,3;0;0
10:42;0,3;3,87;0
10:43;0,3;0;0
10:44;0,3;0;0
10:45;0,3;0;0
10:46;1,51;0;0
10:47;2,69;0;0
10:48;2,68;0;0
10:49;1,56;0;0
10:50;0,43;0;0
10:51;0,43;0;0
10:52;0,43;0;0
10:53;0,43;0;0
10:54;1,47;0;0
10:55;2,49;0;0
10:56;2,48;0;0
10:57;2,48;0;0
10:58;1,39;0;0
10:59;0,3;0;0
11:00;0,35;0;0
11:01;0,39;3,87;0
11:02;0,4;3,87;0
11:03;0,39;3,87;0
11:04;0,38;0;0
11:05;1,47;0;3,8
11:06;2,56;0;0
11:07;2,53;3,87;0
11:08;1,4;0;0
11:09;0,3;0;0
11:10;0,3;0;0
11:11;0,3;0;0
11:12;0,3;0;0
11:13;0,3;0;0
11:14;0,3;3,87;0
11:15;1,39;0;0
11:16;2,45;0;0
11:17;2,43;0;0
11:18;1,29;0;0
11:19;0,15;0;0
11:20;0,16;0;0
11:21;0,15;0;0
11:22;0,81;0;0
11:23;1,49;0;0
11:24;1,53;3,87;0
11:25;0,89;0;3,8
11:26;0,23;3,87;0
11:27;0,22;0;0
11:28;0,22;3,87;0
11:29;0,23;0;3,8
11:30;0,23;0;0
11:31;0,23;0;0
11:32;0,22;3,87;0
11:33;0,22;0;0
11:34;0,22;0;0
11:35;0,22;0;0
11:36;0,22;0;0
11:37;0,29;0;0
11:38;0,34;0;0
11:39;0,29;0;0
11:40;0,23;0;0
11:41;0,23;0;0
11:42;0,23;0;0
11:43;0,23;0;0
11:44;0,23;0;0
11:45;0,23;0;0
11:46;0,27;0;0
11:47;0,31;3,87;0
11:48;0,32;3,87;0
11:49;0,3;3,87;0
11:50;0,3;0;0
11:51;0,3;0;0
11:52;0,31;3,87;0
11:53;0,3;0;0
11:54;0,29;0;0
11:55;0,3;0;0
11:56;0,3;0;0
11:57;0,3;0;0
11:58;0,3;3,87;0
11:59;0,3;0;0
12:00;0,29;0;3,8
12:01;0,3;0;3,8
12:02;0,26;0;0
12:03;0,22;0;0
12:04;0,22;0;0
12:05;0,22;0;0
12:06;0,29;0;3,8
12:07;0,39;0;7,61
12:08;0,42;0;0
12:09;0,45;0;0
12:10;0,51;7,73;0
12:11;0,52;7,73;0
12:12;0,6;7,73;0
12:13;0,68;3,87;0
12:14;0,62;3,87;0
12:15;0,58;0;11,41
12:16;0,6;0;0
12:17;0,61;3,87;0
12:18;0,62;0;0
12:19;0,86;0;0
12:20;0,88;0;0
12:21;0,55;0;0
12:22;0,51;3,87;0
12:23;0,53;0;0
12:24;0,53;0;0
12:25;0,53;0;0
12:26;0,41;0;0
12:27;0,42;0;3,8
12:28;0,42;0;0
12:29;0,46;0;0
12:30;0,61;3,87;0
12:31;0,5;3,87;0
12:32;0,46;3,87;7,61
12:33;1,85;3,87;0
12:34;3,21;7,73;0
12:35;3,29;7,73;0
12:36;3,22;3,87;0
12:37;3,15;0;0
12:38;3,15;0;0
12:39;3,14;0;0
12:40;3,08;0;0
12:41;3,03;0;0
12:42;1,73;0;0
12:43;0,42;0;0
12:44;0,42;0;0
12:45;0,42;0;0
12:46;0,42;0;0
12:47;0,42;0;0
12:48;0,53;0;0
12:49;0,63;0;0
12:50;0,6;0;0
12:51;0,57;0;0
12:52;0,57;0;0
12:53;0,54;0;3,8
12:54;0,54;0;7,61
12:55;0,56;0;0
12:56;0,59;0;0
12:57;0,62;0;0
12:58;0,55;0;0
12:59;0,49;0;3,8
13:00;0,79;0;7,61
13:01;2,12;0;0
13:02;3,13;0;0
13:03;3,12;0;0
13:04;1,79;0;0
13:05;0,92;0;0
13:06;2,07;0;0
13:07;1,52;0;0
13:08;0,34;0;0
13:09;0,41;0;0
13:10;0,41;0;0
13:11;0,41;0;0
13:12;0,41;0;0
13:13;1,65;0;0
13:14;1,59;0;0
13:15;0,28;0;0
13:16;0,31;0;0
13:17;0,35;3,87;0
13:18;0,36;3,87;0
13:19;1,63;3,87;0
13:20;1,62;3,87;3,8
13:21;0,38;7,73;0
13:22;0,4;7,73;0
13:23;0,38;7,73;0
13:24;0,32;0;0
13:25;0,3;0;0
13:26;0,3;0;0
13:27;0,3;0;0
13:28;0,3;0;0
13:29;0,3;0;0
13:30;0,28;0;0
13:31;0,33;0;0
13:32;0,41;0;0
13:33;0,41;0;0
13:34;0,42;0;0
13:35;0,42;0;0
13:36;0,44;0;0
13:37;0,48;3,87;0
13:38;0,49;3,87;0
13:39;0,48;3,87;0
13:40;0,41;3,87;0
13:41;0,4;0;0
13:42;0,44;3,87;0
13:43;0,42;0;0
13:44;0,43;0;0
13:45;0,43;0;0
13:46;0,42;3,87;0
13:47;0,42;0;0
13:48;0,42;0;0
13:49;0,42;0;0
13:50;0,42;0;0
13:51;0,42;0;0
13:52;0,39;0;0
13:53;0,35;0;0
13:54;0,35;0;0
13:55;0,35;0;0
13:56;0,4;0;0
13:57;0,44;3,87;0
13:58;0,45;3,87;0
13:59;0,44;3,87;0
14:00;0,37;3,87;0
14:01;0,3;0;0
14:02;0,3;3,87;0
14:03;0,3;0;0
14:04;0,32;0;0
14:05;0,35;0;0
14:06;0,32;0;0
14:07;0,3;3,87;0
14:08;0,3;0;0
14:09;0,3;0;0
14:10;0,3;0;0
14:11;0,3;0;0
14:12;0,26;0;3,8
14:13;0,23;0;0
14:14;0,22;0;0
14:15;0,23;0;0
14:16;0,26;0;0
14:17;0,38;3,87;0
14:18;0,46;3,87;0
14:19;0,43;0;0
14:20;0,42;3,87;0
14:21;0,42;0;0
14:22;0,42;0;0
14:23;0,42;0;0
14:24;0,42;0;0
14:25;0,42;3,87;0
14:26;0,42;0;0
14:27;0,43;0;0
14:28;0,42;0;0
14:29;0,42;0;0
14:30;0,42;0;0
14:31;0,42;0;0
14:32;0,4;0;0
14:33;0,36;0;0
14:34;0,35;0;0
14:35;0,35;0;0
14:36;0,3;0;0
14:37;0,29;0;0
14:38;0,31;0;0
14:39;0,3;0;0
14:40;0,3;0;0
14:41;0,34;0;0
14:42;0,34;0;0
14:43;0,34;0;0
14:44;0,29;0;0
14:45;0,22;0;0
14:46;0,3;0;3,8
14:47;0,66;3,87;0
14:48;0,48;3,87;0
14:49;0,5;3,87;0
14:50;0,46;3,87;0
14:51;0,43;0;0
14:52;0,43;0;0
14:53;0,43;0;0
14:54;0,43;3,87;0
14:55;0,43;0;0
14:56;0,43;0;0
14:57;0,68;0;0
14:58;0,44;0;0
14:59;0,39;0;0
15:00;0,39;0;0
15:01;0,39;0;0
15:02;0,35;0;0
15:03;0,32;0;0
15:04;0,31;0;0
15:05;0,3;0;0
15:06;0,32;0;0
15:07;0,37;3,87;0
15:08;0,38;3,87;0
15:09;0,42;3,87;0
15:10;0,45;0;0
15:11;0,45;3,87;0
15:12;0,45;0;0
15:13;0,67;0;0
15:14;0,45;0;0
15:15;0,45;0;0
15:16;0,4;3,87;0
15:17;0,35;0;3,8
15:18;0,35;0;0
15:19;0,34;0;0
15:20;0,35;0;0
15:21;0,62;0;0
15:22;0,92;0;0
15:23;0,69;0;0
15:24;0,42;0;0
15:25;0,4;0;0
15:26;0,85;0;0
15:27;1,29;3,87;0
15:28;1,23;3,87;0
15:29;1,14;3,87;0
15:30;1,14;0;0
15:31;1,76;0;0
15:32;1,37;3,87;0
15:33;0,36;0;0
15:34;0,34;0;0
15:35;0,34;0;0
15:36;0,56;0;0
15:37;1,15;3,87;0
15:38;0,92;0;0
15:39;0,4;0;0
15:40;0,45;0;0
15:41;0,68;0;0
15:42;0,64;0;0
15:43;0,36;0;0
15:44;0,36;0;0
15:45;0,36;0;0
15:46;0,63;0;0
15:47;0,44;3,87;0
15:48;0,38;3,87;0
15:49;0,3;0;0
15:50;0,3;3,87;0
15:51;0,3;0;0
15:52;0,3;0;0
15:53;0,3;3,87;0
15:54;0,29;0;0
15:55;0,29;0;0
15:56;0,29;0;0
15:57;0,29;0;0
15:58;0,29;0;0
15:59;0,3;0;0
16:00;0,3;3,87;0
16:01;0,34;0;0
16:02;0,35;0;0
16:03;0,29;0;0
16:04;0,28;0;0
16:05;0,3;0;0
16:06;0,3;0;0
16:07;0,3;0;0
16:08;0,33;0;0
16:09;0,39;3,87;0
16:10;0,41;0;0
16:11;0,39;3,87;0
16:12;0,38;0;0
16:13;0,38;3,87;0
16:14;0,39;0;0
16:15;0,42;0;0
16:16;0,43;0;0
16:17;0,41;0;0
16:18;0,39;3,87;0
16:19;0,39;0;0
16:20;0,38;0;0
16:21;0,38;0;0
16:22;0,34;0;0
16:23;0,3;0;0
16:24;0,27;0;0
16:25;0,23;0;0
16:26;0,23;0;0
16:27;0,23;0;0
16:28;0,23;0;0
16:29;0,23;0;0
16:30;0,3;0;0
16:31;0,37;3,87;0
16:32;0,38;3,87;0
16:33;0,33;3,87;0
16:34;0,3;0;0
16:35;0,25;0;0
16:36;0,21;0;0
16:37;0,23;3,87;0
16:38;0,27;0;0
16:39;0,24;0;0
16:40;0,21;0;0
16:41;0,21;0;0
16:42;0,21;0;0
16:43;0,21;3,87;0
16:44;0,21;0;0
16:45;0,21;0;0
16:46;0,18;0;0
16:47;0,14;0;0
16:48;0,18;0;0
16:49;0,2;0;0
16:50;0,18;0;0
16:51;0,18;0;0
16:52;0,23;3,87;0
16:53;0,23;3,87;0
16:54;0,22;0;0
16:55;0,21;3,87;0
16:56;0,21;0;0
16:57;0,21;0;0
16:58;0,3;0;0
16:59;0,38;3,87;0
17:00;0,35;0;0
17:01;0,35;0;0
17:02;0,35;0;0
17:03;0,34;0;0
17:04;0,35;0;0
17:05;0,35;0;0
17:06;0,34;0;0
17:07;0,31;0;0
17:08;0,31;0;0
17:09;0,37;0;0
17:10;0,37;0;0
17:11;0,31;0;0
17:12;0,32;0;0
17:13;0,35;3,87;0
17:14;0,39;3,87;0
17:15;0,44;3,87;0
17:16;0,41;0;0
17:17;0,35;3,87;0
17:18;0,35;0;0
17:19;0,35;0;0
17:20;0,35;0;0
17:21;0,35;3,87;0
17:22;0,36;0;0
17:23;0,36;0;0
17:24;0,36;0;0
17:25;0,35;0;0
17:26;0,34;0;0
17:27;0,35;0;0
17:28;0,32;0;0
17:29;0,29;0;0
17:30;0,35;0;0
17:31;0,42;0;0
17:32;0,38;0;0
17:33;0,4;0;0
17:34;0,45;3,87;0
17:35;0,45;3,87;0
17:36;0,41;3,87;0
17:37;0,39;0;0
17:38;0,41;0;0
17:39;0,39;3,87;0
17:40;0,42;0;0
17:41;0,47;0;0
17:42;0,46;0;0
17:43;0,47;0;0
17:44;0,47;0;0
17:45;0,46;3,87;0
17:46;0,45;0;0
17:47;0,45;0;0
17:48;0,48;0;0
17:49;0,47;0;0
17:50;0,41;0;0
17:51;0,38;0;0
17:52;0,39;0;0
17:53;0,39;0;0
17:54;0,37;0;0
17:55;0,37;0;0
17:56;0,42;0;0
17:57;0,48;3,87;0
17:58;0,48;3,87;0
17:59;0,47;0;0
18:00;0,45;0;0
18:01;0,44;3,87;0
18:02;0,44;0;0
18:03;0,44;0;0
18:04;0,49;0;0
18:05;0,83;3,87;0
18:06;0,86;0;0
18:07;0,56;0;0
18:08;0,52;0;0
18:09;0,52;0;0
18:10;0,53;0;0
18:11;0,52;0;0
18:12;0,48;0;3,8
18:13;0,85;0;0
18:14;0,84;0;0
18:15;0,49;0;0
18:16;0,5;3,87;0
18:17;0,54;3,87;0
18:18;0,54;3,87;0
18:19;0,55;3,87;0
18:20;0,79;3,87;0
18:21;1,41;0;0
18:22;1,8;3,87;0
18:23;1,17;0;0
18:24;0,55;0;0
18:25;0,55;0;0
18:26;1,12;3,87;0
18:27;1,03;0;0
18:28;0,39;0;0
18:29;0,39;0;0
18:30;0,39;0;0
18:31;0,39;0;0
18:32;0,36;0;0
18:33;0,32;0;0
18:34;0,32;0;0
18:35;0,32;0;0
18:36;0,36;0;0
18:37;0,41;3,87;0
18:38;0,42;3,87;0
18:39;1,19;3,87;0
18:40;2;0;0
18:41;1,24;3,87;0
18:42;1,25;0;0
18:43;1,25;0;0
18:44;1,25;3,87;0
18:45;0,44;0;0
18:46;0,44;0;0
18:47;0,44;0;0
18:48;0,44;0;0
18:49;0,44;0;0
18:50;0,44;0;0
18:51;0,43;0;0
