Time, TotalDemand, House, Commercial, Farms, StreetLights, TotalGeneration,  Solar, TotalPower
2014-06-01T13:26, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:27, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:28, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:29, -14087, -6946, -4837, -2303, 0, 8564, 1007, -5522
2014-06-01T13:30, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:31, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:32, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:33, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:34, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:35, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:36, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:37, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:38, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:39, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:40, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:41, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:42, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:43, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:44, -13772, -6786, -4724, -2261, 0, 8667, 1019, -5105
2014-06-01T13:45, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:46, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:47, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:48, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:49, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:50, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:51, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:52, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:53, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:54, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:55, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:56, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:57, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:58, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
2014-06-01T13:59, -13484, -6617, -4625, -2241, 0, 8728, 1026, -4756
